name,number,airDate,overview,season,serie,serieId
Chapter Twenty: Tales from the Darkside,7,,"Riverdale remains on edge after a chilling letter from the Black Hood challenges the town’s residents to remain sinless for 48 hours – or he’ll strike again. Meanwhile, Jughead and Archie’s friendship gets tested after Penny Peabody unexpectedly calls in a favor that Jughead owes her. Elsewhere, Betty and Veronica team up to investigate someone who Betty thinks could be the Black Hood killer. Finally, things take an unexpected turn for Josie when a secret admirer takes things one step too far.",2,Riverdale,2
Chapter Twenty-One: House of the Devil,8,,"When Jughead learns that FP is getting released from prison, he and Betty organize a welcome home party with the Serpents to ease him back into his former life. Meanwhile, Archie and Veronica reach a crossroad in their relationship, but are forced to push their issues aside after Jughead and Betty ask them to take over the Black Hood investigation.",2,Riverdale,2
"Chapter Twenty-Two: Silent Night, Deadly Night",9,,"After snooping around for Christmas gifts, Veronica uncovers a major secret Hiram has been keeping from her. Fallout from Jughead’s encounter with Penny Peabody creates tension between him and FP. Meanwhile, a defiant Cheryl takes matters into her own hands after Penelope tells her they cannot afford Christmas this year. Finally, Betty and Archie’s vow to take down the Black Hood once and for all leads to a dangerous showdown.",2,Riverdale,2
Chapter Twenty-Three: The Blackboard Jungle,10,,"Tensions mount when the sudden shut down of Southside High forces Jughead and his fellow serpents to transfer to Riverdale High. Veronica ensures Hiram and Hermoine that she’s still on board with their plans for SoDale. Archie is conflicted when he is asked to gather some information on Hiram’s suspicious business dealings. Betty sets out on a quest to find her long-lost brother, Chic.",2,Riverdale,2
Chapter Twenty-Four: The Wrestler,11,,"Amidst preparations for the town’s annual Picken’s Day festivities, Jughead interviews Toni’s grandfather and learns some shocking details about Riverdale’s history. In an attempt to get closer to Hiram, Archie tries out for the Riverdale wrestling team after learning of Hiram’s love of the sport. Meanwhile, Betty unearths some dark secrets about her brother Chic, and Veronica and Josie clash as they prepare for their Picken’s Day performance.",2,Riverdale,2
Chapter Twenty-Five: The Wicked and the Divine,12,,"As preparations for her confirmation ceremony get underway, Veronica becomes concerned that Archie, who’s agreed to be Hiram’s ""intern,"" may be learning too much about her family’s secret business dealings. Jughead and FP lead the charge after an incident at Pickens Park leads to increased tensions among the Serpents. Meanwhile, Chic helps Betty deal with her inner darkness, while Archie finds himself in over his head after a high-stakes poker game with Hiram’s shady inner-circle goes awry.",2,Riverdale,2
Chapter Twenty-Six: The Tell-Tale Heart,13,,"Betty turns to Jughead for help when the consequences of a hasty decision come back to haunt her. Veronica organizes a face to face meeting after tensions between Hiram, FP and Jughead spiral out of control. Elsewhere, Archie is forced to make a tough decision after Agent Adams takes things one step too far.",2,Riverdale,2
Chapter Twenty-Seven: The Hills Have Eyes,14,,"When Hiram suggests that Veronica and Archie head up to their lake house for the weekend, Veronica decides to invite Betty and Jughead to join them. Determined to uncover Hiram’s plans for Riverdale, Jughead uses his time at the lake house to press Veronica about what she may know. Back in Riverdale, Cheryl makes a surprising connection with an unlikely friend, while Josie lands in hot water after revealing a secret to Kevin.",2,Riverdale,2
Chapter Twenty-Eight: There Will Be Blood,15,,"After learning that his dad is considering running for mayor of Riverdale, Archie begins to grow concerned that the Lodges may have found their newest pawn in Fred. Meanwhile, Betty becomes increasingly suspicious of Chic’s strange behavior and enlists Kevin’s help to figure out what Chic is hiding. Finally, Cheryl and Penelope are surprised when they learn that Clifford left a secret will, and Jughead makes a major discovery in his quest to take down Hiram.",2,Riverdale,2
Chapter Twenty-Nine: Primary Colors,16,,"In the aftermath of Hiram’s newly announced plans for Riverdale, Jughead resorts to drastic measures to voice his opposition. After making her own big announcement, Hermoine’s friend Andy Cohen comes to town to lend a hand. Meanwhile, Veronica goes against her parent’s wishes to keep a low profile when she decides to run for student council president. Elsewhere, Mary arrives in Riverdale just as tensions between Fred and Archie reach a breaking point. Finally, following a series of mysterious events, Cheryl begins to fear that someone is out to get her.",2,Riverdale,2
Chapter Thirty: The Noose Tightens,17,,"Just as the town’s mayoral race gets underway, Riverdale High’s own student council election heats up. Archie steps up to help after learning that Hiram’s mobster associates have come to Riverdale to stir up some trouble. Meanwhile, things take a dangerous turn for Alice, Betty and Chic when an unexpected guest shows up at the Cooper residence. Finally, Toni, Veronica and Josie team up to solve a strange mystery involving Cheryl.",2,Riverdale,2
Chapter Thirty-One: A Night to Remember,18,,"As Riverdale High begins rehearsals for its upcoming production of “Carrie the Musical”, the arrival of an ominous letter forces director Kevin to make a difficult decision about the show. Jughead uses his cover as the musical’s documentarian to solve the mystery behind the letter. Meanwhile, tensions between Betty and Veronica continue to escalate just as Alice announces she is joining the musical to spend more time with Betty. Elsewhere, Hiram enacts a devious plan to further drive a wedge between Fred and Archie, while Cheryl channels Carrie White during a showdown with her mother.",2,Riverdale,2
Chapter Thirty-Two: Prisoners,19,,"After an incident at Riverdale High leaves the town on edge, Archie leads the charge to uncover the culprit. Meanwhile, the reveal of a devastating secret leads to a violent showdown between Chic, Jughead, Betty and Alice. Elsewhere, Veronica takes matters into her own hands when someone from her past comes to town seeking revenge. Finally, Hermoine and Cheryl conspire to take down Sheriff Keller.",2,Riverdale,2
Chapter Thirty-Three: Shadow of a Doubt,20,,"As the town’s mayoral race between Fred and Hermoine heats up, Hiram sets his sights on a new ally – Sheriff Minetta. Betty turns to Cheryl for help when she has a suspicion about the Black Hood. Meanwhile, the reveal of a dark secret forces Archie and Jughead to try and ease tensions between the Bulldogs and Serpents. Finally, on the eve of the mayoral debate, a mysterious message leaves everyone on edge.",2,Riverdale,2
Chapter Thirty-Four: Judgment Night,21,,"When an incident at the Sheriff’s station triggers an all-out war between the North and the Southside, Archie and Jughead find themselves in the fight of their lives. Meanwhile Veronica makes a devastating discovery about Hiram, just as someone from his past arrives in Riverdale looking for revenge. Finally, Betty comes face to face with the Black Hood.",2,Riverdale,2
Chapter Thirty-Five: Brave New World,22,,"With Fred trailing in the polls, Archie steps in to lend a hand in his dad’s mayoral campaign. Veronica stays one step ahead after uncovering Hiram’s latest scheme. Elsewhere, Cheryl finalizes her emancipation from her mother, while FP makes a surprising announcement to Jughead and the Serpents. Finally, Betty confronts her darkest demons.",2,Riverdale,2
Chapter Thirty-Six: Labor Day,1,,"As the jury begins deliberations in his murder trial, Archie makes a surprising request about how he wants to spend his final days of summer. Betty is forced to deal with her problems head-on after a heated confrontation with Alice and Polly brings up some dark secrets she’s kept hidden. Veronica pleads with Hiram to step in and help Archie before a verdict is announced. Finally, Jughead leads the Serpents against the Ghoulies latest attack.",3,Riverdale,2
Chapter Thirty-Seven: Fortune and Men's Eyes,2,,"After a gruesome discovery is made in the forest, Jughead and Betty team up to investigate Riverdale's latest mystery. As Archie navigates his new surroundings, Veronica devises a plan to bring a bit of home to him. Elsewhere, when Moose decides to join the RROTC, Kevin worries he may be pulling away from him.",3,Riverdale,2
"Chapter Thirty-Eight: As Above, So Below",3,,"When a series of suspicious roadblocks threaten to delay the opening of the speakeasy, Veronica enlists the help of Cheryl, Toni, Reggie, Kevin and Josie to ensure opening night goes off without a hitch. Elsewhere, Betty and Jughead follow different leads to learn more about the strange incidents going on in the town. Finally, some unwanted attention forces Archie to make a difficult decision about his future.",3,Riverdale,2
Chapter Thirty-Nine: The Midnight Club,4,,"When Betty confronts Alice about Gryphons and Gargoyles, Alice has no choice but to come clean about how she, along with a young Fred, FP, Hermoine, Hiram, Sierra, Penelope and Tom, played the game in the early 90’s – and how a shocking mystery has been plaguing them all ever since.",3,Riverdale,2
Chapter Forty: The Great Escape,5,,"After weeks go by with no contact from Archie, Veronica  devises a dangerous plan to break him out of juvie. Meanwhile, when Betty learns that Jughead has taken their investigation into Griffins & Gargoyles a step too far, she finds herself in a race against the clock to save him.",3,Riverdale,2
Chapter Forty-One: Manhunter,6,,"After confronting the parents, who were part of “The Midnight Club” twenty-five years ago, Betty follows some strong leads in hopes of finding out who the true Gargoyle King is. Meanwhile, Veronica’s attempt to prove Archie’s innocence lands her in hot water. Finally, Archie turns to Kevin for help making things right.",3,Riverdale,2
Chapter Forty-Two: The Man in Black,7,,"Fearful that he will be caught, Archie hits the road and ends up at a farm outside Riverdale, where he meets Laurie Lake. Meanwhile, after Alice takes extreme measures to ensure Betty’s safety from the Gargoyle King, Betty finds herself up against a formidable foe from her past. Finally, after learning that La Bonne Nuit is in trouble, Veronica makes a risky business decision that could cost her everything.",3,Riverdale,2
Chapter Forty-Three: Outbreak,8,,"On the road and running out of places to stay, Jughead and Archie head to Toledo to visit Jughead’s mother Gladys and sister Jellybean. Back in Riverdale, Betty inches closer to uncovering the truth about Griffins & Gargoyles, while Veronica and Cheryl take on Hiram, Hermoine and Penelope after more students fall victim to seizures.",3,Riverdale,2
Chapter Forty-Four: No Exit,9,,"With Riverdale in disarray following Hiram’s takeover, Veronica leads the charge against her father after he takes aim at La Bonne Nuit. Meanwhile, as Betty reluctantly houses the group of patients who escaped the Sisters of Quiet Mercy, Jughead confronts a group of desperate Serpents, who have resorted to drastic measures to make ends meet. Finally, Archie is forced to face his demons.",3,Riverdale,2
Chapter Forty-Five: The Stranger,10,,"With SAT’s around the corner, Alice and FP urge Jughead and Betty to stop investigating G&G and start focusing on their SAT prep. However, when Alice takes things one step too far, Betty is forced to come face-to-face with someone from her past. Finally, Jughead makes a bold move against the Gargoyle Gang.",3,Riverdale,2
Chapter Forty-Six: The Red Dahlia,11,,"After one of their own becomes the target of an unseen assailant, the gang works together to get to the bottom of Riverdale's latest mystery. Meanwhile, Betty works with a surprising ally to piece together clues about a series of deaths in the town. Elsewhere, a spiraling Archie sets out on a new path, while Jughead comes face to face with Ms. Mulwray, Hiram's alleged mistress.",3,Riverdale,2
Chapter Forty-Seven: Bizarrodale,12,,"Amidst preparations for their upcoming wedding, Sierra and Tom receive an unsettling message, which forces ""The Midnight Club"" to reunite. Meanwhile, Veronica and Reggie take drastic measures to clean up a mess they created. Cheryl learns some unexpected news about the college she has set her sights on. Lastly, Kevin gives Moose an ultimatum.",3,Riverdale,2
Chapter Forty-Eight: Requiem For A Welterweight,13,,Archie steps back into the ring; Alice goes deeper with the Farm; Jughead visits the Heart of Darkness; Veronica juggles dueling villains.,3,Riverdale,2
Chapter Forty-Nine: Fire Walk with Me,14,,"Betty takes matters into her own hands when she learns that The Farm has set their sights on someone in her inner circle. Meanwhile, when Hiram and Gladys’ control over Veronica becomes too much to handle, she sets a plan in motion to turn the tables on them. Elsewhere, Archie grows concerned about a young runaway he meets at the gym, while Jughead struggles to maintain control over the Serpents.",3,Riverdale,2
Chapter Fifty: American Dreams,15,,"As Gladys prepares for FP’s 50th birthday party, Jughead questions his mom’s motives for returning to Riverdale. When an unexpected encounter brings Archie back into the world of G&G, Jughead and Betty devise a plan to help him face his past head-on. Finally, Cheryl and Toni find themselves at a crossroads, and Veronica reveals a damaging secret to Betty.",3,Riverdale,2
Chapter Fifty-One: Big Fun,16,,"As rehearsals for this year’s musical “Heathers: The Musical” get underway, Cheryl, as queen bee Heather Chandler, channels her own HBIC to deal with a recent fallout. Meanwhile, Betty grows increasingly annoyed by Evelyn’s involvement with the musical – as well as the lives of her friends. Elsewhere, Veronica learns some devastating news about her family, and Archie and Josie make a decision about their future. Lastly, Jughead makes a surprising move against Gladys,",3,Riverdale,2
Chapter Fifty-Two: The Raid,17,,"As Betty enlists Cheryl’s help to infiltrate The Farm, Archie and Veronica help an ally from his past. Meanwhile, Jughead’s attempt to put a stop to Riverdale’s drug trade puts him on a collision course with Gladys. Finally, Hiram breaks some surprising news to Veronica.",3,Riverdale,2
Chapter Fifty-Three: Jawbreaker,18,,"When a tainted batch of fizzle rocks makes its way through Riverdale, Jughead and FP set out to find who’s responsible. After asking Veronica to help get him into an upcoming boxing tournament, Archie quickly learns he may be in over his head. Elsewhere, Betty makes one last attempt to rescue Alice from The Farm’s grip, and Toni becomes unsettled by a sudden change in Cheryl’s behavior.",3,Riverdale,2
Chapter Fifty-Four: Fear the Reaper,19,,"When Jellybean goes missing, Jughead, Gladys and FP follow a series of cryptic clues to get her home. Elsewhere, Archie faces the fallout from his latest boxing match, while Betty makes a major discovery about Evelyn’s past. Finally, Josie makes a big decision about her future.",3,Riverdale,2
Chapter Fifty-Five: Prom Night,20,,"Betty takes matters into her own hands after learning some unsettling news about her father. Mary grows concerned by Archie’s desire to take boxing to the next level. Elsewhere, Cheryl runs into a roadblock during her campaign for prom queen, while Jughead and Betty’s plan to confront the Gargoyle King takes an unexpected turn.",3,Riverdale,2
Chapter Fifty-Six: The Dark Secret of Harvest House,21,,Veronica turns to Mary and Archie for help after uncovering a secret that Hiram had been keeping from her. Betty raises questions after witnessing some strange activities at The Farm. Jughead finds himself one step closer to uncovering the Gargoyle King’s identity.,3,Riverdale,2
Chapter Fifty-Seven: Survive the Night,22,,"After receiving mysterious invitations, Archie, Betty, Veronica and Jughead band together to confront the evils of their past once and for all. Meanwhile, chaos ensues at The Farm after Edgar makes a chilling announcement.",3,Riverdale,2
Chapter Fifty-Eight: In Memoriam,1,,"As the residence of Riverdale prepare for its upcoming Independence Day parade, Archie receives a phone call that will change the rest of his life forever.",4,Riverdale,2
Chapter Fifty-Nine: Fast Times at Riverdale High,2,,"Archie encourages Mad Dog to attend Riverdale High and join the football team. Jughead meets Mr. Chipping, who offers him a spot at an elite school called Stonewall Prep. Veronica is conflicted when information about her involvement in Hiram’s arrest leaks to the public.",4,Riverdale,2
Chapter Sixty: Dog Day Afternoon,3,,"Things take a dangerous turn when Betty and Charles  track down Edgar and his Farmies. Archie and Veronica hold a car wash fundraiser at Pop’s to raise money for the community center. Elsewhere, Jughead’s first day at Stonewall Prep doesn’t go as planned. Lastly, Cheryl learns a dark family secret from Nana Rose.",4,Riverdale,2
Chapter Sixty-One: Halloween,4,,"When ominous videotapes begin appearing on doorsteps across Riverdale, widespread fear quickly returns to the town. At Stonewall Prep, Jughead learns about a series of mysterious disappearances that have occurred to former students at the school. Meanwhile, Archie’s plan to create a safe space for the town’s kids gets derailed when some unwanted visitors crash their Halloween party. Elsewhere, Veronica comes face to face with trouble, while Betty’s past comes back to haunt her. Lastly, a haunting at Thistlehouse rocks Cheryl  and Toni to their core.",4,Riverdale,2
Chapter Sixty-Two: Witness For The Prosecution,5,,"Caught between Hiram and Hermoine’s double trial, Veronica  grapples with what the future holds for her family. Archie finds himself the unexpected target of the town’s local businesses. Betty and Kevin  join the Junior FBI Training Program, and Jughead learns some surprising information about his family history.",4,Riverdale,2
Chapter Sixty-Three: Hereditary,6,,"As Archie struggles to keep the neighborhood kids away from Dodger’s influence, he turns to an unexpected ally for help. Jughead uncovers a mystery surrounding the author of the Baxter Brothers books, while Betty confronts Charles about his past. Finally, Veronica deals with a major shake-up at home, and Cheryl and Toni get some unexpected visitors at Thistlehouse.",4,Riverdale,2
Chapter Sixty-Four: The Ice Storm,7,,"Archie’s plan to host a peaceful Thanksgiving dinner at the community center quickly gets derailed when some unexpected guests arrive. Stranded at Stonewall Prep by an ice storm, Jughead and Betty search for clues about a recent death on campus. Elsewhere, while FP, Alice, Hiram and Hermoine wait out the storm together at Pop’s, Cheryl and Toni get resourceful as they host a dinner for Cheryl’s family.",4,Riverdale,2
Chapter Sixty-Five: In Treatment,8,,"As residents across Riverdale begin receiving more mysterious videotapes on their doorsteps, the seniors of Riverdale High eagerly await their college decision letters. Concerned that the stress may be getting to them, Mrs. Burble, the school's guidance counselor, meets with Betty, Archie, Veronica, Cheryl and Jughead to discuss what's plaguing them.",4,Riverdale,2
Chapter Sixty-Six: Tangerine,9,,"After declaring war on Hiram, Veronica enlists a secret weapon against her father - her Abuelita. Archie and FP team up to take Dodge down for good, while Betty and Charles investigate a series of strange attacks aimed at Betty. Elsewhere, Jughead's search for his grandpa, Forsythe Pendleton Jones I, leads to more questions than answers, while Cheryl finally makes peace with the past that's been haunting her.",4,Riverdale,2
Chapter Sixty-Seven: Varsity Blues,10,,"As Riverdale High prepares for the championship football game against Stonewall Prep, Betty gets to work on a story about the rivalry between the schools. Archie is conflicted when Mary tells him about Uncle Frank’s troubled past. Cheryl goes head to head with Ms. Appleyard, the school’s new cheerleading coach, and Veronica hits a road block with her latest Luna Rum recipe. Finally, Jughead is forced to pick a side after the perks of attending Stonewall Prep begin to interfere with his personal life.",4,Riverdale,2
Chapter Sixty-Eight: Quiz Show,11,,"Determined to give Frank a second chance, Archie gives him a job at Andrew’s Construction. Betty channels her energy into taking Bret down and defeating Stonewall Prep at the Quiz Show Championship, while Veronica and Cheryl team up for an unlikely business venture. Finally, Kevin’s date with a new suitor takes a strange and unexpected turn.",4,Riverdale,2
Chapter Sixty-Nine: Men of Honor,12,,"Archie grows concerned for Frank after someone from his past arrives in Riverdale. Betty and Alice’s investigation into incidents at Stonewall Prep leads them on a collision course with their number one suspect. Jughead challenges Bret to a duel to settle their grievances, while Toni, Kevin  and Fangs seek revenge against Nick St. Clair, who has shown up unexpectedly in Riverdale. Finally, a trip to New York City gives Veronica an opportunity to catch up with her old friend Katy Keene.",4,Riverdale,2
Chapter Seventy: The Ides of March,13,,"Worried about what the future may hold for him after high school, Archie seeks advice from an unlikely source -- Hiram Lodge. Meanwhile, Veronica begins to spiral after learning some devastating news about someone close to her. Finally, accusations made against Jughead  leaves his future at Stonewall Prep hanging in the balance.",4,Riverdale,2
Chapter Seventy-One: How to Get Away with Murder,14,,"When a night in the woods goes horribly awry, Betty, Archie and Veronica are forced to confront what one of them may be capable of.",4,Riverdale,2
Chapter Seventy-Two: To Die For,15,,"Alice begins shooting a documentary about Riverdale and the latest mystery involving one of its own. Meanwhile, Betty, Archie and Veronica fall deeper into a web of lies as the investigation gets underway.",4,Riverdale,2
Chapter Seventy-Three: The Locked Room,16,,"Jughead and Betty confront Bret, Donna and Professor DuPont and unravel their plan to commit the perfect murder.",4,Riverdale,2
Chapter Seventy-Four: Wicked Little Town,17,,"Kevin decides to revive Riverdale High’s tradition of hosting a variety show. But when Mr. Honey forbids him from performing a number from “Hedwig and the Angry Inch,” Kevin and the gang rally against their principal turning the variety show into a full-fledged musical that reflects the students’ inner lives and struggles. And amidst all the drama, one forbidden “showmance” begins to blossom.",4,Riverdale,2
Chapter Seventy-Five: Lynchian,18,,"Jughead and Charles follow a new lead after the contents of the latest videotape takes a sinister turn. Meanwhile, Kevin, Reggie and Fangs take their latest business venture to the next level, while Cheryl and Veronica's maple rum business faces a new threat. Finally, Archie and Betty contemplate their next steps.",4,Riverdale,2
Chapter Seventy-Six: Killing Mr. Honey,19,,"After receiving a letter from the University of Iowa asking him to submit a story, Jughead works on a twisted tale about the gang's revenge fantasy against Principal Honey for all the ways he's ruined their senior year. Season Finale.",4,Riverdale,2
