name,number,airDate,overview,poster,serie,serieId
Season 4,4,2007-09-27,"The fourth season of the American television medical drama Grey's Anatomy, commenced airing in the United States on September 27, 2007 and concluded on May 22, 2008. The season continues the story of a group of surgeons and their mentors in the fictional Seattle Grace Hospital, describing their professional lives and the way they affect the personal background of each character. Season four had twelve series regulars with ten of them returning from the previous season, out of which eight are part of the original cast from the first season. The season aired in the Thursday night timeslot at 9:00 EST. In addition to the regular seventeen episodes, a clip-show narrated by the editors of People recapped previous events of the show and made the transition from Grey's Anatomy to Private Practice, a spin-off focusing of Dr. Addison Montgomery and aired on September 19, 2007, before the season premiere. The season was officially released on DVD as a five-disc boxset under the title of Grey's Anatomy: Season Four – Expanded on September 9, 2008 by Buena Vista Home Entertainment.\n\nFor the first time in the show's history, many cast changes occur, seeing the first departure of two main cast members. The season received mixed response from critics and fans, resulting in several awards and nominations for the cast members and the production team. Show creator Shonda Rhimes heavily contributed to the production of the season, writing five out of the seventeen episodes. The highest-rated episode was the season premiere, which was watched by 20.93 million viewers. The season was interrupted by the 2007–2008 Writers Guild of America strike, which resulted in the production of only seventeen episodes, instead of twenty-three originally planned.",xoBWd6WNcQKoxfYzcwWRZUiFGtx.jpg,Grey's Anatomy,5
Season 5,5,2008-09-25,"The fifth season of the American television medical drama Grey's Anatomy, created by Shonda Rhimes, commenced airing on American Broadcasting Company in the United States on September 25, 2008 and concluded on May 14, 2009 with twenty-four aired episodes. The season follows the story of a group of surgeons as they go through their residency, while they also deal with the personal challenges and relationships with their mentors. Season five had thirteen series regulars with twelve of them returning from the previous season. The season aired in the Thursday night timeslot at 9:00 pm. The season was officially released on DVD as seven-disc boxset under the title of Grey's Anatomy: The Complete Fifth Season – More Moments on September 9, 2009 by Buena Vista Home Entertainment.",bnOS0AKjbfPY1xVqF80qk0iBQBX.jpg,Grey's Anatomy,5
Season 6,6,2009-09-24,"The sixth season of the American television medical drama Grey's Anatomy, commenced airing on the American Broadcasting Company in the United States on September 24, 2009, and concluded on May 20, 2010. The season was produced by ABC Studios, in association with Shondaland Production Company and The Mark Gordon Company; the showrunner being Shonda Rhimes. Actors Ellen Pompeo, Sandra Oh, Katherine Heigl, and Justin Chambers reprised their roles as surgical residents Meredith Grey, Cristina Yang, Izzie Stevens, and Alex Karev, respectively. Heigl was released from her contract in the middle of the season, while T.R. Knight did not appear as George O'Malley, because Knight was released from his contract at the conclusion of season five. Main cast members Patrick Dempsey, Chandra Wilson, James Pickens, Jr., Sara Ramirez, Eric Dane, Chyler Leigh, and Kevin McKidd also returned, while previous recurring star Jessica Capshaw was promoted to a series regular, and Kim Raver was given star billing after the commencement of the season.\n\nThe season follows the story of surgical interns, residents and their competent mentors, as they experience the difficulties of the competitive careers they have chosen. It is set in the surgical wing of the fictional Seattle Grace Hospital, located in Seattle, Washington. A major storyline of the season is the characters adapting to change, as their beloved co-worker Stevens departed following the breakdown of her marriage, O'Malley died in the season premiere—following his being dragged by a bus, and new cardiothoracic surgeon Teddy Altman is given employment at the hospital. Further storylines include Shepherd being promoted to chief of surgery, Seattle Grace Hospital merging with the neighboring Mercy West —introducing several new doctors, and several physicians lives being placed into danger—when a grieving deceased patient's husband embarks on a shooting spree at the hospital, seeking revenge for his wife's death.",vCiJa2YfzOWhhfKCXNZWFVhYulE.jpg,Grey's Anatomy,5
Season 7,7,2010-09-23,"The seventh season of the American television medical drama Grey's Anatomy, commenced airing on September 23, 2010 on the American Broadcasting Company, and concluded on May 19, 2011 ending the season with a total of 22 episodes. The season was produced by ABC Studios, in association with Shondaland Production Company and The Mark Gordon Company; the showrunner being Shonda Rhimes.",wmGUedMQJkmSZFYJA35AKPrHsGJ.jpg,Grey's Anatomy,5
Season 8,8,2011-09-22,"The eighth season of the American television medical drama Grey's Anatomy, commenced airing on the American Broadcasting Company on September 22, 2011, with a special two-hour episode and ended on May 17, 2012 with the eighth season having a total of 24 episodes. The season was produced by ABC Studios, in association with Shondaland Production Company and The Mark Gordon Company; the showrunner being Shonda Rhimes.",pvuMQwMPWDqunRiajmeGQmUF0zS.jpg,Grey's Anatomy,5
Season 9,9,2012-09-27,,gLP8aeWDfoOIqp1EFEMLSoHlIHW.jpg,Grey's Anatomy,5
Season 10,10,2013-09-26,,h0z0USK1KerDJu02c218zFMIa52.jpg,Grey's Anatomy,5
Season 11,11,2014-09-25,"During an interview, Shonda Rhimes stated that ""Season 11 is really a Meredith-centric season. She lost her ‘person’, her half-sister has shown up, her husband is chafing to go someplace else…” She went on to reveal that she's been wanting to do the ""familial grenade"" storyline for a long time, and at the end of Season 10, she knew it was the time to do it. Rhimes also claimed that Season 11 will pick up right where Season 10 left us, so there won't be much that the audience won't see. In another interview discussing this storyline, Rhimes revealed that she and the writers are thinking about doing flashback periods to the younger days of Drs. Ellis Grey and Richard Webber.",AvMxKxyj6zIG5fR0fg7D6bWH4AY.jpg,Grey's Anatomy,5
Season 12,12,2015-09-24,,b8pkzoNM5X0XSwppEA7jTID5Dcm.jpg,Grey's Anatomy,5
Season 13,13,2016-09-22,,i4gNHaY1MzP50zcjgw3ew2hKCCW.jpg,Grey's Anatomy,5
Season 14,14,2017-09-28,,2eSQFbeZZ7lCru40Q0UYGJ20itx.jpg,Grey's Anatomy,5
Season 15,15,2018-09-27,,eqgIOObafPJitt8JNh1LuO2fvqu.jpg,Grey's Anatomy,5
Season 16,16,2019-09-26,,eDIfEk8dHysaea0ICkKtLUc3xro.jpg,Grey's Anatomy,5
Season 17,17,2020-11-12,,1Dk9X7QNMf2yp6UhFEYiuvvKVmP.jpg,Grey's Anatomy,5
Season 1,1,2021-01-08,,EpDuYIK81YtCUT3gH2JDpyj8Qk.jpg,Marvel Studios: Legends,6
Season 1,1,2018-05-02,"Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites.",lLrKXnM3WPEtrPCd1aTHT6x3hn.jpg,Cobra Kai,7
Season 2,2,2019-04-24,"Johnny continues building a new life, but a face from his past could disrupt his future. Meanwhile, Daniel opens a Miyagi-Do studio to rival Cobra Kai.",77kyNXN6yCRjDt9eBMj96vLMx8W.jpg,Cobra Kai,7
Season 3,3,2021-01-01,"With a new sensei at the helm of the Cobra Kai dojo, a three-way feud takes center stage. Old grudges — like Cobra Kai — never die.",5DfWqh360sjMxqj3Th3DZdnFk3I.jpg,Cobra Kai,7
Season 1,1,2013-03-03,,uYaskJzmBhBdvkitDTjlH6gj9Pt.jpg,Vikings,8
Season 2,2,2014-02-27,"Season two brings crises of faith, of power, of relationships. Brothers rise up against one another. Loyalties shift from friend to foe, and unlikely alliances are formed in the name of supremacy. Ragnar’s indiscretions threaten his marriage to Lagertha, tearing him and his beloved son apart. Plots are hatched, scores are settled, blood is spilled…all under the watchful eyes of the gods.",g2Pgu5Dae9P99yJs0xZQtEagA76.jpg,Vikings,8
Season 3,3,2015-02-19,"With the promise of new land from the English, Ragnar leads his people to an uncertain fate on the shores of Wessex. King Ecbert has made many promises and it remains to be seen if he will keep them. But ever the restless wanderer, Ragnar is searching for something more … and he finds it in the mythical city of Paris.",jICv5UxLDvUqCp1D2jAb0PSJWAw.jpg,Vikings,8
Season 4,4,2016-02-18,A ferocious battle between the Vikings and the French eventually comes down to Ragnar against Rollo. The outcome will seal the fate of the two brothers.,nHJHNRApy8vmTUvZx59l1f1GXzB.jpg,Vikings,8
Season 5,5,2017-11-29,"Season five begins with Ivar the Boneless asserting his leadership over the Great Heathen Army, while Lagertha reigns as Queen of Kattegat. Ivar’s murder of his brother Sigurd sets the stage for vicious battles to come as Ragnar’s sons plot their next moves after avenging their father’s death. Bjorn follows his destiny into the Mediterranean Sea and Floki who is suffering from the loss of his wife Helga, takes to the seas submitting himself to the will of the Gods. This season is full of startling alliances and unbelievable betrayals as the Vikings fight to rule the world.",aFfwMjFhb05O2mC5hCfoEPPJ8xL.jpg,Vikings,8
Season 6,6,2019-12-04,"The final season finds Bjorn now the king of Kattegat, while Ivar is a fugitive in Russia and Lagertha plans a peaceful retirement to a country farm.",3h0EDCz4eIefTUxHZaNaYwcRw47.jpg,Vikings,8
Season 1,1,2016-01-25,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",9qvNXKYqZEsYn3g3yn5tXQe0ceB.jpg,Lucifer,9
Season 2,2,2016-09-19,"Lucifer returns for another season, but his devil-may-care attitude may soon need an adjustment: His mother is coming to town.",fTQzbse8HKh0z6UJbMUumdbZ8PX.jpg,Lucifer,9
Season 3,3,2017-10-02,"As Lucifer struggles with an identity crisis, a gruff new police lieutenant shakes up the status quo with Chloe and the rest of the LAPD.",4mKbrTqGg1daz3pDUgqd9ZSdZRt.jpg,Lucifer,9
Season 4,4,2019-05-08,"As Chloe struggles to come to terms with Lucifer's disturbing revelation, a rogue priest sets out to stop a long-rumored prophecy.",k9sLJE5geAmOCXOCbKnhSNND60J.jpg,Lucifer,9
Season 5,5,2020-08-21,Lucifer makes a tumultuous return to the land of the living in hopes of making things right with Chloe. A devil’s work is never done.,4EYPN5mVIhKLfxGruy7Dy41dTVn.jpg,Lucifer,9
Season 1,1,2021-01-20,,hnteIcMgWHGvyWoi4RQfrS6PyuB.jpg,Daughter From Another Mother,10
Season 1,1,2019-11-12,,sUTqIb82LxYhPT0SfI8AR03GLpz.jpg,The Mandalorian,11
Season 2,2,2020-10-30,"The Mandalorian and the Child continue their journey, facing enemies and rallying allies as they make their way through a dangerous galaxy in the tumultuous era after the collapse of the Galactic Empire.",b8cs9DzhxRQLQ7TvfLihYbAC6fg.jpg,The Mandalorian,11
Season 1,1,2018-01-16,,wnDoA1QFNHLUwte9YVozLd86D9N.jpg,Black Lightning,12
Season 2,2,2018-10-09,,7R3jEEfRV2a3ElvMzrY4DnYJS8I.jpg,Black Lightning,12
Season 3,3,2019-10-07,,90QFKG1QK7szgMIB2SxFADY1pvy.jpg,Black Lightning,12
Season 4,4,2021-02-08,,h1xbvvO6oqchfLe6xh0yLNnQxeM.jpg,Black Lightning,12
Season 1,1,2021-01-22,,oHj6guMrLfQcBzo3uxwBJc8Y736.jpg,Fate: The Winx Saga,13
Season 1,1,2021-02-10,,9s5Za1RYXSjIA1g0KO1R7uywGlA.jpg,Crime Scene: The Vanishing at the Cecil Hotel,14
Season 1,1,2011-04-17,"Trouble is brewing in the Seven Kingdoms of Westeros. For the driven inhabitants of this visionary world, control of Westeros' Iron Throne holds the lure of great power. But in a land where the seasons can last a lifetime, winter is coming...and beyond the Great Wall that protects them, an ancient evil has returned. In Season One, the story centers on three primary areas: the Stark and the Lannister families, whose designs on controlling the throne threaten a tenuous peace; the dragon princess Daenerys, heir to the former dynasty, who waits just over the Narrow Sea with her malevolent brother Viserys; and the Great Wall--a massive barrier of ice where a forgotten danger is stirring.",zwaj4egrhnXOBIit1tyb4Sbt3KP.jpg,Game of Thrones,15
Season 2,2,2012-04-01,"The cold winds of winter are rising in Westeros...war is coming...and five kings continue their savage quest for control of the all-powerful Iron Throne. With winter fast approaching, the coveted Iron Throne is occupied by the cruel Joffrey, counseled by his conniving mother Cersei and uncle Tyrion. But the Lannister hold on the Throne is under assault on many fronts. Meanwhile, a new leader is rising among the wildings outside the Great Wall, adding new perils for Jon Snow and the order of the Night's Watch.",5tuhCkqPOT20XPwwi9NhFnC1g9R.jpg,Game of Thrones,15
Season 3,3,2013-03-31,"Duplicity and treachery...nobility and honor...conquest and triumph...and, of course, dragons. In Season 3, family and loyalty are the overarching themes as many critical storylines from the first two seasons come to a brutal head. Meanwhile, the Lannisters maintain their hold on King's Landing, though stirrings in the North threaten to alter the balance of power; Robb Stark, King of the North, faces a major calamity as he tries to build on his victories; a massive army of wildlings led by Mance Rayder march for the Wall; and Daenerys Targaryen--reunited with her dragons--attempts to raise an army in her quest for the Iron Throne.",7d3vRgbmnrRQ39Qmzd66bQyY7Is.jpg,Game of Thrones,15
Season 4,4,2014-04-06,"The War of the Five Kings is drawing to a close, but new intrigues and plots are in motion, and the surviving factions must contend with enemies not only outside their ranks, but within.",dniQ7zw3mbLJkd1U0gdFEh4b24O.jpg,Game of Thrones,15
Season 5,5,2015-04-12,"The War of the Five Kings, once thought to be drawing to a close, is instead entering a new and more chaotic phase. Westeros is on the brink of collapse, and many are seizing what they can while the realm implodes, like a corpse making a feast for crows.",527sR9hNDcgVDKNUE3QYra95vP5.jpg,Game of Thrones,15
Season 6,6,2016-04-24,"Following the shocking developments at the conclusion of season five, survivors from all parts of Westeros and Essos regroup to press forward, inexorably, towards their uncertain individual fates. Familiar faces will forge new alliances to bolster their strategic chances at survival, while new characters will emerge to challenge the balance of power in the east, west, north and south.",zvYrzLMfPIenxoq2jFY4eExbRv8.jpg,Game of Thrones,15
Season 7,7,2017-07-16,The long winter is here. And with it comes a convergence of armies and attitudes that have been brewing for years.,3dqzU3F3dZpAripEx9kRnijXbOj.jpg,Game of Thrones,15
Season 8,8,2019-04-14,"The Great War has come, the Wall has fallen and the Night King's army of the dead marches towards Westeros. The end is here, but who will take the Iron Throne?",39FHkTLnNMjMVXdIDwZN8SxYqD6.jpg,Game of Thrones,15
Season 1,1,2009-09-10,"Life hasn't been the same for Elena since the tragic death of her parents, but she tries to pick up the pieces and provide support for her troubled younger brother, Jeremy. On her first day back at Mystic Falls High School, Elena meets the mysterious new guy, Stefan, and the two seeming lost souls form an instant connection. What Elena doesn't know, however, is that Stefan is a vampire, constantly resisting the urge to taste her blood. But Stefan, it seems, has a greater evil to deal with when his dangerous older brother, Damon, shows up to wreak havoc on the town of Mystic Falls — and claim Elena for himself.",prAQa3eoM2bSW5YtkOR7LvAloAL.jpg,The Vampire Diaries,16
Season 2,2,2010-09-09,"This season, Katherine's appearance in Mystic Falls will throw a wrench into the love triangle between Stefan, Elena and Damon, and the other residents of Mystic Falls must choose sides as they fall victim to a new breed of danger. New and unexpected friendships will be forged, allies will become enemies and hearts will be broken. Plus, Stefan and Damon will be forced to face a villain more evil and diabolical than they thought possible.",trtTxfirwwh2TWszP9BCB24MigH.jpg,The Vampire Diaries,16
Season 3,3,2011-09-15,"Season three opens the door to learn more about Klaus and the Original Family as his motives for wanting Stefan on his side are finally revealed. As Stefan sinks deeper into the dark side, Damon and Elena struggle with the guilt of their growing bond, even as they work together to bring Stefan back from the edge. ",7NkFYi10VFfdeKGvezi0N9asANm.jpg,The Vampire Diaries,16
Season 4,4,2012-10-11,"The fourth season starts off with everything in transition. Elena faces her worst nightmare as she awakens from her deadly accident to find she must now endure the terrifying change of becoming a vampire — or face certain death. Stefan and Damon are torn even further apart over how to help Elena adjust to a life she never wanted, and everyone must cope with the chaos created after the vampires and their supporters were outed to the town council and local leaders. Despite everything, as Elena and her friends enter into the final stretch of high school before graduation sends them on different paths, they feel the bond to their home town of Mystic Falls take on a deeper meaning when a new mysterious villain is introduced who seems intent on destroying it.",dGOCHCKyABhzzg6eUg0sPPtlM7K.jpg,The Vampire Diaries,16
Season 5,5,2013-10-03,"The hit series enters its fifth season with some characters headed off to college, Katherine trying to survive as a human and a shocking Salvatore secret.",tflT6GtCEYCTQhdH1fOZUwhsG4R.jpg,The Vampire Diaries,16
Season 6,6,2014-10-02,"Season six follows the characters’ journey back to each other as they explore the duality of good versus evil inside themselves. Michael Malarkey joins the cast as Enzo, an old vampire friend from Damon’s past, and Matt Davis reprises his role as Alaric Saltzman, recently returned from The Other Side.",eNcq9u5eBzYsaHFo35pzwzVakyq.jpg,The Vampire Diaries,16
Season 7,7,2015-10-08,"In the wake of Elena Gilbert's goodbye, in season seven, some characters will recover while others falter. As Lily tries to drive a wedge between the Salvatore brothers, we'll still hold onto hope that Stefan and Caroline's love story is strong enough to survive.",tZGs5sf4XWCQYdJH02vbILHgEvY.jpg,The Vampire Diaries,16
Season 8,8,2016-10-21,"The final season of ""The Vampire Diaries"" begins a few months after it left off, with Damon and Enzo on an epic killing spree after being kidnapped and enslaved by the Siren Sybil. During the search to find them, Stefan, Bonnie, Caroline, and Alaric discover that the mysterious force they are up against may be more powerful than they thought and they must go to great lengths to keep the people they love safe. When they discover Sybil's motive, they must do everything in their power to prevent her from accomplishing her goal. Caroline and Stefan take a big step in their relationship, but when Stefan is forced to turn off his humanity to protect the people he loves their plans are put on hold.",dVfEXTGeJq07XN8vEKstZIQ2OYK.jpg,The Vampire Diaries,16
Season 1,1,2014-10-07,"When an unexpected accident at the S.T.A.R. Labs Particle Accelerator facility strikes Barry, he finds himself suddenly charged with the incredible power to move at super speeds. While Barry has always been a hero in his soul, his newfound powers have finally given him the ability to act like one. With the help of the research team at S.T.A.R. Labs, Barry begins testing the limits of his evolving powers and using them to stop crime. With a winning personality and a smile on his face, Barry Allen — aka The Flash — is finally moving forward in life … very, very fast!",A3H6pewHfoy2bXmNhvycOe0xzlC.jpg,The Flash,17
Season 2,2,2015-10-06,"Following the dramatic events of season 1, Team Flash quickly turns their attention to a threat high above Central City. Armed with the heart of a hero and the ability to move at super speeds, will Barry be able to save his city from impending doom?",8xWZPVX1cv9V5YD1RPeLj9QZDE9.jpg,The Flash,17
Season 3,3,2016-10-04,"Forensic scientist Barry Allen, aka The Flash, is living his dream life. His parents are alive. He's dating beautiful, smart Iris West. And he's able to stand back and let the new speedster in town, Kid Flash, step in to protect Central City. But the better Barry's life gets, the more dangerous it becomes. His nemesis, Reverse Flash, warns Barry of serious repercussions if he remains in the alternate Flashpoint universe: In addition to memory loss, his powers will fade. When disaster strikes, Barry must decide whether to continue life as Barry Allen or return to his universe as The Flash. As Barry deals with his identity crisis, he and the S.T.A.R. Labs team fight off lethal threats from the God of Speed, Savitar.",rN1hgV8Ag3bZmkv33Udm93hIxQp.jpg,The Flash,17
Season 4,4,2017-10-10,"The mission of Barry Allen, aka The Flash, is once more to protect Central City from metahuman threats. But with Barry trapped in the Speed Force, this mission falls to his family – Detective Joe West; fiancée Iris West; and Wally West/Kid Flash – and the team at S.T.A.R. Labs: Caitlin Snow/Killer Frost, Cisco Ramon/Vibe and brilliant scientist Harrison Wells. When a powerful villain threatens to level the city unless The Flash appears, Cisco risks everything to free Barry. But this is only the first move in a deadly game with Clifford DeVoe, aka The Thinker, a mastermind who’s always ten steps ahead of Barry, no matter how fast Barry runs.",zBF3wcUp3SgnlYNOXQeaDg5XfTu.jpg,The Flash,17
Season 5,5,2018-10-09,"Barry Allen and his new wife, Iris West, finally settling into married life when they're visited by Nora West-Allen, their speedster daughter from the future. Nora's arrival brings to light the legacy every member of Team Flash will leave years from now, causing many to question who they are today. And while Nora idolizes Barry, she holds a mysterious grudge against Iris. As Team Flash adjusts to the next generation of speedster, they discover Nora's presence has triggered the arrival of the most ruthless, vicious and relentless villain they have ever faced: Cicada!",z3CqL2vnjgLuefOiR5AYD9Tf91S.jpg,The Flash,17
Season 6,6,2019-10-08,"When Barry and Iris deal with loss of their daughter, the team faces their greatest threat yet - one that threatens to destroy all of Central City; Killer Frost has a brush with death that will change her relationship with Caitlin. Faced with the news of his impending death, Barry's resiliency suffers as he struggles to fight fate.",qDntRDRs5XohN4ClcV2SH9WlzpI.jpg,The Flash,17
Season 7,7,2021-03-02,"After a thrilling cliffhanger last season which saw the new Mirror Master victorious and still-at-large in Central City, The Flash must regroup in order to stop her and find a way to make contact with his missing wife, Iris West-Allen. With help from the rest of Team Flash, Barry will ultimately defeat Mirror Master. But in doing so, he’ll also unleash an even more powerful and devastating threat on Central City: one that threatens to tear his team—and his marriage—apart.",lJA2RCMfsWoskqlQhXPSLFQGXEJ.jpg,The Flash,17
Season 1,1,1989-12-16,,u3U4aGwSTpvbULPHTsm7XhadynO.jpg,The Simpsons,18
Season 2,2,1990-10-10,"The Simpsons' second season originally aired between October 11, 1990 and May 9, 1991, and contained 22 episodes, beginning with ""Bart Gets an F"". Another episode, ""Blood Feud"" aired during the summer after the official season finale. The executive producers for the second production season were Matt Groening, James L. Brooks, and Sam Simon, who had also been EPs for the previous season. The DVD box set was released on August 6, 2002 in Region 1, July 8, 2002 in Region 2 and in September, 2002 in Region 4. The episode ""Homer vs. Lisa and the 8th Commandment"" won the Primetime Emmy Award for Outstanding Animated Program, and was also nominated in the ""Outstanding Sound Mixing for a Comedy Series or a Special"" category.",78320WYaATUuEESTvO4x0mBdndA.jpg,The Simpsons,18
Season 3,3,1991-09-19,"The Simpsons' third season originally aired on the Fox network between September 19, 1991 and May 7, 1992. The showrunners for the third production season were Al Jean and Mike Reiss who executive produced 22 episodes for the season, while two other episodes were produced by James L. Brooks, Matt Groening, and Sam Simon. An additional episode, ""Brother, Can You Spare Two Dimes?"", aired on August 27, 1992 after the official end of the third season and is included on the Season 3 DVD set. Season three won six Primetime Emmy Awards for ""Outstanding Voice-Over Performance"" and also received a nomination for ""Outstanding Animated Program"" for the episode ""Radio Bart"". The complete season was released on DVD in Region 1 on August 26, 2003, Region 2 on October 6, 2003, and in Region 4 on October 22, 2003.",sEmfyUy9mts03y6KoI782gi2fVd.jpg,The Simpsons,18
